station_id,x,y,epsg,location,province
UTIEL,660401.967034815,4388371.043368908,25830,Utiel,Valencia
VALDECUENCA,635002.0061039173,4462094.970555974,25830,Valdecuenca,Teruel
VALDELINARES,700548.0297565802,4472795.978358399,25830,Valdelinares,Teruel
VALENCIA,727259.535981726,4372971.936624126,25830,Valencia,Valencia
VALLIBONA,754668.9823233567,4496953.9459526455,25830,Morella,Castellón
VILLAMALEA,620100.9907935695,4358026.99032371,25830,Villamalea,Albacete
XERT,767627.9856036787,4489638.948194773,25830,Xert,Castellón
ZARZUELA,573581.961011558,4457099.9729038635,25830,Zarzuela,Cuenca
INIESTA DEPÓSITOS,604499.0186232063,4369686.129476372,25830,Iniesta,Cuenca
INIESTA GRANJA,607223.015078938,4371791.937118508,25830,Iniesta,Cuenca
BALSA ATS EN ALBACETE,589398.5372853919,4302922.887561403,25830,Albacete,Albacete
BENEIXAMA,695815.004004769,4290092.049056165,25830,Beneixama,Alicante
EA 90 PAJARONCILLO,610131.0183239069,4421909.01757908,25830,Pajaroncillo,Cuenca
MC GUADASSUAR,718379.9929209872,4342128.043000768,25830,Guadassuar,Valencia
MC ONTINYENT - DATALOGGER,707893.4913690342,4300322.709945123,25830,Ontinyent,Valencia
